year,period,periodName,value,footnotes
2021,M12,December,200,[{}]
2021,M11,November,184,[{}]
2021,M10,October,237,[{}]
2021,M09,September,212,[{}]
2021,M08,August,205,[{}]
2021,M07,July,236,[{}]
2021,M06,June,192,[{}]
2021,M05,May,206,[{}]
2021,M04,April,234,[{}]
2021,M03,March,196,[{}]
2021,M02,February,158,[{}]
2021,M01,January,152,[{}]
2020,M12,December,124,[{}]
2020,M11,November,127,[{}]
2020,M10,October,161,[{}]
2020,M09,September,143,[{}]
2020,M08,August,135,[{}]
2020,M07,July,179,[{}]
2020,M06,June,139,[{}]
2020,M05,May,109,[{}]
2020,M04,April,107,[{}]
2020,M03,March,124,[{}]
2020,M02,February,145,[{}]
2020,M01,January,172,[{}]
2019,M12,December,137,[{}]
2019,M11,November,123,[{}]
2019,M10,October,158,[{}]
2019,M09,September,139,[{}]
2019,M08,August,133,[{}]
2019,M07,July,151,[{}]
2019,M06,June,144,[{}]
2019,M05,May,134,[{}]
2019,M04,April,139,[{}]
2019,M03,March,145,[{}]
2019,M02,February,129,[{}]
2019,M01,January,150,[{}]
