year,period,periodName,value,footnotes
2021,M12,December,113,[{}]
2021,M11,November,107,[{}]
2021,M10,October,129,[{}]
2021,M09,September,112,[{}]
2021,M08,August,103,[{}]
2021,M07,July,123,[{}]
2021,M06,June,92,[{}]
2021,M05,May,98,[{}]
2021,M04,April,107,[{}]
2021,M03,March,86,[{}]
2021,M02,February,74,[{}]
2021,M01,January,76,[{}]
2020,M12,December,62,[{}]
2020,M11,November,63,[{}]
2020,M10,October,82,[{}]
2020,M09,September,72,[{}]
2020,M08,August,57,[{}]
2020,M07,July,78,[{}]
2020,M06,June,59,[{}]
2020,M05,May,54,[{}]
2020,M04,April,60,[{}]
2020,M03,March,56,[{}]
2020,M02,February,70,[{}]
2020,M01,January,73,[{}]
2019,M12,December,58,[{}]
2019,M11,November,65,[{}]
2019,M10,October,83,[{}]
2019,M09,September,77,[{}]
2019,M08,August,68,[{}]
2019,M07,July,79,[{}]
2019,M06,June,80,[{}]
2019,M05,May,79,[{}]
2019,M04,April,91,[{}]
2019,M03,March,79,[{}]
2019,M02,February,71,[{}]
2019,M01,January,70,[{}]
